,elite_avg,env,evals,max,mean,median
0,0.0,AmidarDeterministic-v4,597479.0,0.0,0.0,0.0
1,31.0,AmidarDeterministic-v4,1197475.0,31.0,2.169,0.0
2,31.0,AmidarDeterministic-v4,1797051.0,31.0,4.974,2.0
3,31.0,AmidarDeterministic-v4,2390872.0,31.0,9.147,2.0
4,31.0,AmidarDeterministic-v4,2965601.0,31.0,15.186,12.0
5,31.0,AmidarDeterministic-v4,3565435.0,31.0,21.919,31.0
6,31.0,AmidarDeterministic-v4,4202148.0,31.0,25.771,31.0
7,31.0,AmidarDeterministic-v4,4842094.0,31.0,26.381,31.0
8,31.0,AmidarDeterministic-v4,5484444.0,31.0,27.856,31.0
9,31.0,AmidarDeterministic-v4,6127068.0,31.0,28.159,31.0
10,31.0,AmidarDeterministic-v4,6770168.0,31.0,28.765,31.0
11,33.0,AmidarDeterministic-v4,7412978.0,33.0,28.408,31.0
12,33.0,AmidarDeterministic-v4,8057277.0,33.0,28.701,31.0
13,33.0,AmidarDeterministic-v4,8701694.0,33.0,28.382,31.0
14,33.0,AmidarDeterministic-v4,9346112.0,33.0,29.222,31.0
15,33.0,AmidarDeterministic-v4,9990940.0,33.0,29.515,31.0
16,33.0,AmidarDeterministic-v4,10635906.0,33.0,29.514,31.0
17,33.0,AmidarDeterministic-v4,11279498.0,33.0,29.358,31.0
18,33.0,AmidarDeterministic-v4,11924155.0,33.0,29.581,31.0
19,33.0,AmidarDeterministic-v4,12569884.0,33.0,29.95,31.0
20,33.0,AmidarDeterministic-v4,13215643.0,33.0,29.862,31.0
21,33.0,AmidarDeterministic-v4,13861479.0,33.0,29.746,31.0
22,34.0,AmidarDeterministic-v4,14508561.0,34.0,30.127,31.0
23,34.0,AmidarDeterministic-v4,15154288.0,34.0,29.85,31.0
24,34.0,AmidarDeterministic-v4,15799961.0,34.0,29.727,31.0
25,34.0,AmidarDeterministic-v4,16445294.0,34.0,29.894,31.0
26,34.0,AmidarDeterministic-v4,17090241.0,34.0,29.81,31.0
27,34.0,AmidarDeterministic-v4,17735140.0,34.0,30.058,31.0
28,34.0,AmidarDeterministic-v4,18380478.0,34.0,30.081,31.0
29,34.0,AmidarDeterministic-v4,19024039.0,34.0,29.719,31.0
30,34.0,AmidarDeterministic-v4,19670478.0,34.0,30.528,31.0
31,34.0,AmidarDeterministic-v4,20316989.0,34.0,30.53,31.0
32,62.0,AmidarDeterministic-v4,20962495.0,62.0,30.569,31.0
33,62.0,AmidarDeterministic-v4,21608167.0,62.0,30.259,31.0
34,62.0,AmidarDeterministic-v4,22253298.0,62.0,30.342,31.0
35,62.0,AmidarDeterministic-v4,22898879.0,62.0,30.348,31.0
36,62.0,AmidarDeterministic-v4,23545445.0,62.0,30.119,31.0
37,62.0,AmidarDeterministic-v4,24191434.0,62.0,30.098,31.0
38,62.0,AmidarDeterministic-v4,24836865.0,62.0,30.22,31.0
39,62.0,AmidarDeterministic-v4,25482162.0,62.0,30.154,31.0
40,62.0,AmidarDeterministic-v4,26127617.0,62.0,30.319,31.0
41,62.0,AmidarDeterministic-v4,26772165.0,62.0,29.955,31.0
42,62.0,AmidarDeterministic-v4,27418112.0,62.0,30.22,31.0
43,62.0,AmidarDeterministic-v4,28064239.0,62.0,30.239,31.0
44,62.0,AmidarDeterministic-v4,28710612.0,62.0,30.406,31.0
45,62.0,AmidarDeterministic-v4,29357136.0,62.0,30.189,31.0
46,62.0,AmidarDeterministic-v4,30005880.0,62.0,29.995,31.0
47,62.0,AmidarDeterministic-v4,30652179.0,62.0,30.133,31.0
48,62.0,AmidarDeterministic-v4,31299529.0,62.0,30.261,31.0
49,62.0,AmidarDeterministic-v4,31947559.0,62.0,30.032,31.0
50,62.0,AmidarDeterministic-v4,32594902.0,62.0,30.005,31.0
51,62.0,AmidarDeterministic-v4,33244421.0,62.0,30.282,31.0
52,62.0,AmidarDeterministic-v4,33893669.0,62.0,30.495,31.0
53,62.0,AmidarDeterministic-v4,34542560.0,62.0,30.166,31.0
54,62.0,AmidarDeterministic-v4,35190440.0,62.0,29.868,31.0
55,63.0,AmidarDeterministic-v4,35841469.0,63.0,30.297,31.0
56,63.0,AmidarDeterministic-v4,36491221.0,63.0,29.918,31.0
57,63.0,AmidarDeterministic-v4,37141855.0,63.0,30.071,31.0
58,63.0,AmidarDeterministic-v4,37793019.0,63.0,30.367,31.0
59,63.0,AmidarDeterministic-v4,38442420.0,63.0,30.082,31.0
60,63.0,AmidarDeterministic-v4,39092444.0,63.0,30.084,31.0
61,63.0,AmidarDeterministic-v4,39742538.0,63.0,30.132,31.0
62,63.0,AmidarDeterministic-v4,40393165.0,63.0,29.908,31.0
63,63.0,AmidarDeterministic-v4,41044475.0,63.0,30.13,31.0
64,63.0,AmidarDeterministic-v4,41698368.0,63.0,30.341,31.0
65,63.0,AmidarDeterministic-v4,42350904.0,63.0,29.956,31.0
66,63.0,AmidarDeterministic-v4,43003305.0,63.0,29.662,31.0
67,63.0,AmidarDeterministic-v4,43653873.0,63.0,29.924,31.0
68,63.0,AmidarDeterministic-v4,44305877.0,63.0,30.2,31.0
69,63.0,AmidarDeterministic-v4,44956745.0,63.0,29.844,31.0
70,63.0,AmidarDeterministic-v4,45609881.0,63.0,30.157,31.0
71,63.0,AmidarDeterministic-v4,46264212.0,63.0,30.338,31.0
72,63.0,AmidarDeterministic-v4,46919919.0,63.0,30.336,31.0
73,63.0,AmidarDeterministic-v4,47575401.0,63.0,30.212,31.0
74,63.0,AmidarDeterministic-v4,48231579.0,63.0,30.361,31.0
75,63.0,AmidarDeterministic-v4,48887806.0,63.0,30.137,31.0
76,63.0,AmidarDeterministic-v4,49542375.0,63.0,29.853,31.0
77,63.0,AmidarDeterministic-v4,50197623.0,63.0,30.102,31.0
78,64.0,AmidarDeterministic-v4,50856053.0,64.0,30.24,31.0
79,64.0,AmidarDeterministic-v4,51513563.0,64.0,30.183,31.0
80,90.0,AmidarDeterministic-v4,52170330.0,90.0,30.02,31.0
81,90.0,AmidarDeterministic-v4,52829401.0,90.0,29.893,31.0
82,90.0,AmidarDeterministic-v4,53487929.0,90.0,29.786,31.0
83,90.0,AmidarDeterministic-v4,54146893.0,90.0,30.016,31.0
84,90.0,AmidarDeterministic-v4,54804768.0,90.0,29.96,31.0
85,90.0,AmidarDeterministic-v4,55463384.0,90.0,29.852,31.0
86,90.0,AmidarDeterministic-v4,56122929.0,90.0,30.207,31.0
87,90.0,AmidarDeterministic-v4,56779195.0,90.0,29.497,31.0
88,90.0,AmidarDeterministic-v4,57437495.0,90.0,29.777,31.0
89,90.0,AmidarDeterministic-v4,58095754.0,90.0,29.855,31.0
90,90.0,AmidarDeterministic-v4,58754984.0,90.0,29.646,31.0
91,90.0,AmidarDeterministic-v4,59410560.0,90.0,29.253,31.0
92,90.0,AmidarDeterministic-v4,60068885.0,90.0,29.886,31.0
93,90.0,AmidarDeterministic-v4,60726382.0,90.0,29.644,31.0
94,90.0,AmidarDeterministic-v4,61381999.0,90.0,29.656,31.0
95,90.0,AmidarDeterministic-v4,62038543.0,90.0,29.721,31.0
96,90.0,AmidarDeterministic-v4,62697186.0,90.0,29.485,31.0
97,90.0,AmidarDeterministic-v4,63354876.0,90.0,29.471,31.0
98,141.0,AmidarDeterministic-v4,64014039.0,141.0,29.841,31.0
99,141.0,AmidarDeterministic-v4,64672534.0,141.0,29.492,31.0
100,141.0,AmidarDeterministic-v4,65330363.0,141.0,29.327,31.0
101,141.0,AmidarDeterministic-v4,65988838.0,141.0,28.822,31.0
102,141.0,AmidarDeterministic-v4,66645028.0,141.0,29.147,31.0
103,141.0,AmidarDeterministic-v4,67302478.0,141.0,29.343,31.0
104,141.0,AmidarDeterministic-v4,67957057.0,141.0,29.06,31.0
