,elite_avg,env,evals,max,mean,median
0,175.0,AmidarDeterministic-v4,629418.0,175.0,6.26,2.0
1,175.0,AmidarDeterministic-v4,1257092.0,175.0,9.22,2.0
2,175.0,AmidarDeterministic-v4,1877391.0,175.0,12.422,3.5
3,175.0,AmidarDeterministic-v4,2483047.0,175.0,17.023,12.0
4,175.0,AmidarDeterministic-v4,3109439.0,175.0,21.946,31.0
5,175.0,AmidarDeterministic-v4,3757074.0,175.0,25.133,31.0
6,175.0,AmidarDeterministic-v4,4405066.0,175.0,25.438,31.0
7,175.0,AmidarDeterministic-v4,5053532.0,175.0,26.009,31.0
8,175.0,AmidarDeterministic-v4,5703001.0,175.0,26.863,31.0
9,175.0,AmidarDeterministic-v4,6353775.0,175.0,27.062,31.0
10,175.0,AmidarDeterministic-v4,7005900.0,175.0,27.111,31.0
11,175.0,AmidarDeterministic-v4,7657745.0,175.0,27.184,31.0
12,175.0,AmidarDeterministic-v4,8309820.0,175.0,27.899,31.0
13,175.0,AmidarDeterministic-v4,8961892.0,175.0,27.81,31.0
14,175.0,AmidarDeterministic-v4,9614277.0,175.0,28.203,31.0
15,175.0,AmidarDeterministic-v4,10267372.0,175.0,28.082,31.0
16,175.0,AmidarDeterministic-v4,10920341.0,175.0,27.786,31.0
17,175.0,AmidarDeterministic-v4,11573619.0,175.0,28.126,31.0
18,175.0,AmidarDeterministic-v4,12227618.0,175.0,28.318,31.0
19,175.0,AmidarDeterministic-v4,12882225.0,175.0,28.327,31.0
20,175.0,AmidarDeterministic-v4,13537280.0,175.0,29.054,31.0
21,175.0,AmidarDeterministic-v4,14192352.0,175.0,28.271,31.0
22,175.0,AmidarDeterministic-v4,14846653.0,175.0,28.223,31.0
23,175.0,AmidarDeterministic-v4,15501437.0,175.0,28.345,31.0
24,175.0,AmidarDeterministic-v4,16153532.0,175.0,28.231,31.0
25,175.0,AmidarDeterministic-v4,16805902.0,175.0,27.717,31.0
26,175.0,AmidarDeterministic-v4,17460307.0,175.0,28.576,31.0
27,175.0,AmidarDeterministic-v4,18115954.0,175.0,28.803,31.0
28,175.0,AmidarDeterministic-v4,18770534.0,175.0,28.754,31.0
29,175.0,AmidarDeterministic-v4,19424289.0,175.0,28.821,31.0
30,175.0,AmidarDeterministic-v4,20078514.0,175.0,28.51,31.0
31,175.0,AmidarDeterministic-v4,20734010.0,175.0,28.693,31.0
32,175.0,AmidarDeterministic-v4,21389165.0,175.0,28.758,31.0
33,175.0,AmidarDeterministic-v4,22044072.0,175.0,28.951,31.0
34,175.0,AmidarDeterministic-v4,22698996.0,175.0,28.599,31.0
35,175.0,AmidarDeterministic-v4,23355232.0,175.0,28.665,31.0
36,175.0,AmidarDeterministic-v4,24009409.0,175.0,28.647,31.0
