,elite_avg,env,evals,max,mean,median
0,92.0,AmidarDeterministic-v4,628682.0,92.0,7.635,2.0
1,95.0,AmidarDeterministic-v4,1275893.0,95.0,17.873,12.0
2,255.0,AmidarDeterministic-v4,1965588.0,255.0,33.348,31.0
3,255.0,AmidarDeterministic-v4,2680800.0,255.0,42.78,36.0
4,255.0,AmidarDeterministic-v4,3399720.0,255.0,52.947,49.0
5,255.0,AmidarDeterministic-v4,4104562.0,255.0,61.881,63.0
6,255.0,AmidarDeterministic-v4,4792636.0,255.0,65.456,64.0
7,255.0,AmidarDeterministic-v4,5497002.0,255.0,69.089,70.0
8,255.0,AmidarDeterministic-v4,6198893.0,255.0,73.884,76.5
9,255.0,AmidarDeterministic-v4,6905231.0,255.0,78.904,87.0
10,255.0,AmidarDeterministic-v4,7612579.0,255.0,83.419,89.0
11,255.0,AmidarDeterministic-v4,8336031.0,255.0,88.424,95.0
12,255.0,AmidarDeterministic-v4,9072278.0,255.0,92.475,97.0
13,255.0,AmidarDeterministic-v4,9824169.0,255.0,99.471,109.0
14,255.0,AmidarDeterministic-v4,10589955.0,255.0,106.853,120.0
15,255.0,AmidarDeterministic-v4,11384175.0,255.0,111.797,126.0
16,255.0,AmidarDeterministic-v4,12201628.0,255.0,118.6,141.0
17,255.0,AmidarDeterministic-v4,13008147.0,255.0,123.409,141.0
18,255.0,AmidarDeterministic-v4,13788592.0,255.0,125.703,141.0
19,255.0,AmidarDeterministic-v4,14554024.0,255.0,126.848,156.0
20,255.0,AmidarDeterministic-v4,15305580.0,255.0,132.92,165.0
21,255.0,AmidarDeterministic-v4,16032829.0,255.0,134.401,171.0
22,255.0,AmidarDeterministic-v4,16775928.0,255.0,134.389,174.0
23,255.0,AmidarDeterministic-v4,17517937.0,255.0,137.822,174.0
24,255.0,AmidarDeterministic-v4,18261931.0,255.0,136.476,175.0
25,255.0,AmidarDeterministic-v4,19014932.0,255.0,142.254,188.0
26,255.0,AmidarDeterministic-v4,19768203.0,255.0,142.068,191.0
27,255.0,AmidarDeterministic-v4,20517708.0,255.0,140.434,191.0
28,255.0,AmidarDeterministic-v4,21272372.0,255.0,141.873,192.0
29,255.0,AmidarDeterministic-v4,22019525.0,255.0,138.45,192.0
30,255.0,AmidarDeterministic-v4,22773957.0,255.0,140.701,192.0
31,255.0,AmidarDeterministic-v4,23528447.0,255.0,139.75,192.0
32,255.0,AmidarDeterministic-v4,24283149.0,255.0,138.687,192.0
33,255.0,AmidarDeterministic-v4,25043147.0,255.0,140.059,192.0
34,255.0,AmidarDeterministic-v4,25801238.0,255.0,139.359,192.0
35,255.0,AmidarDeterministic-v4,26565009.0,255.0,141.986,192.0
36,255.0,AmidarDeterministic-v4,27334405.0,255.0,142.055,192.0
37,255.0,AmidarDeterministic-v4,28096241.0,255.0,140.896,193.0
38,255.0,AmidarDeterministic-v4,28864496.0,255.0,139.469,193.0
39,255.0,AmidarDeterministic-v4,29629962.0,255.0,138.461,193.0
40,255.0,AmidarDeterministic-v4,30394764.0,255.0,138.231,193.0
41,255.0,AmidarDeterministic-v4,31168620.0,255.0,142.586,193.0
42,255.0,AmidarDeterministic-v4,31929212.0,255.0,141.52,193.0
43,255.0,AmidarDeterministic-v4,32695228.0,255.0,142.265,193.0
44,255.0,AmidarDeterministic-v4,33470270.0,255.0,144.583,193.0
45,255.0,AmidarDeterministic-v4,34238609.0,255.0,140.606,193.0
46,255.0,AmidarDeterministic-v4,35006141.0,255.0,142.437,193.0
47,255.0,AmidarDeterministic-v4,35771291.0,255.0,141.899,193.0
48,255.0,AmidarDeterministic-v4,36540406.0,255.0,144.073,193.0
49,255.0,AmidarDeterministic-v4,37306817.0,255.0,142.506,193.0
50,255.0,AmidarDeterministic-v4,38064926.0,255.0,141.462,193.0
51,255.0,AmidarDeterministic-v4,38831177.0,255.0,143.695,193.0
52,255.0,AmidarDeterministic-v4,39598203.0,255.0,143.359,193.0
53,255.0,AmidarDeterministic-v4,40367064.0,255.0,146.372,193.0
54,255.0,AmidarDeterministic-v4,41136202.0,255.0,145.234,193.0
55,255.0,AmidarDeterministic-v4,41904762.0,255.0,147.314,193.0
56,255.0,AmidarDeterministic-v4,42673927.0,255.0,146.045,193.0
57,255.0,AmidarDeterministic-v4,43439781.0,255.0,145.982,193.0
58,255.0,AmidarDeterministic-v4,44210126.0,255.0,147.81,193.0
59,255.0,AmidarDeterministic-v4,44979041.0,255.0,146.71,193.0
60,255.0,AmidarDeterministic-v4,45747369.0,255.0,144.837,193.0
61,255.0,AmidarDeterministic-v4,46511071.0,255.0,144.083,193.0
62,255.0,AmidarDeterministic-v4,47278653.0,255.0,148.953,193.0
63,255.0,AmidarDeterministic-v4,48047815.0,255.0,146.656,193.0
64,255.0,AmidarDeterministic-v4,48820760.0,255.0,147.744,193.0
65,255.0,AmidarDeterministic-v4,49594433.0,255.0,148.607,193.0
66,255.0,AmidarDeterministic-v4,50367611.0,255.0,147.508,193.0
67,255.0,AmidarDeterministic-v4,51142609.0,255.0,148.699,193.0
68,255.0,AmidarDeterministic-v4,51913239.0,255.0,150.483,193.0
69,255.0,AmidarDeterministic-v4,52690879.0,255.0,151.54,193.0
70,255.0,AmidarDeterministic-v4,53457264.0,255.0,147.82,193.0
71,255.0,AmidarDeterministic-v4,54221047.0,255.0,149.337,193.0
72,255.0,AmidarDeterministic-v4,54986792.0,255.0,151.683,193.0
73,255.0,AmidarDeterministic-v4,55753673.0,255.0,151.984,193.0
74,255.0,AmidarDeterministic-v4,56508956.0,255.0,150.559,193.0
75,255.0,AmidarDeterministic-v4,57266910.0,255.0,150.896,193.0
76,255.0,AmidarDeterministic-v4,58020138.0,255.0,153.915,193.0
77,255.0,AmidarDeterministic-v4,58766432.0,255.0,151.657,193.0
78,255.0,AmidarDeterministic-v4,59501658.0,255.0,149.668,193.0
79,255.0,AmidarDeterministic-v4,60238942.0,255.0,151.561,193.0
80,255.0,AmidarDeterministic-v4,60973589.0,255.0,151.83,193.0
81,255.0,AmidarDeterministic-v4,61700241.0,255.0,151.329,193.0
82,255.0,AmidarDeterministic-v4,62422938.0,255.0,153.327,194.0
83,255.0,AmidarDeterministic-v4,63140745.0,255.0,150.993,196.0
84,255.0,AmidarDeterministic-v4,63860079.0,255.0,152.665,197.0
85,255.0,AmidarDeterministic-v4,64577113.0,255.0,151.328,197.0
86,255.0,AmidarDeterministic-v4,65294705.0,255.0,152.424,197.0
87,255.0,AmidarDeterministic-v4,66015572.0,255.0,152.536,197.0
88,255.0,AmidarDeterministic-v4,66737723.0,255.0,150.745,197.0
89,255.0,AmidarDeterministic-v4,67462171.0,255.0,152.232,197.0
90,255.0,AmidarDeterministic-v4,68185699.0,255.0,152.643,197.0
91,255.0,AmidarDeterministic-v4,68903081.0,255.0,152.953,197.0
92,255.0,AmidarDeterministic-v4,69626428.0,255.0,151.687,198.0
93,255.0,AmidarDeterministic-v4,70348929.0,255.0,152.995,198.0
94,255.0,AmidarDeterministic-v4,71076094.0,255.0,153.832,198.0
95,255.0,AmidarDeterministic-v4,71795062.0,255.0,152.157,198.0
96,255.0,AmidarDeterministic-v4,72517521.0,255.0,153.727,198.0
97,255.0,AmidarDeterministic-v4,73237118.0,255.0,154.057,198.0
98,255.0,AmidarDeterministic-v4,73960742.0,255.0,154.409,198.0
99,255.0,AmidarDeterministic-v4,74680363.0,255.0,154.196,198.0
100,255.0,AmidarDeterministic-v4,75402638.0,255.0,153.145,198.0
101,255.0,AmidarDeterministic-v4,76127643.0,255.0,155.291,198.0
102,255.0,AmidarDeterministic-v4,76848436.0,255.0,155.667,198.0
103,255.0,AmidarDeterministic-v4,77569286.0,255.0,152.118,198.0
104,255.0,AmidarDeterministic-v4,78294935.0,255.0,154.519,198.0
105,255.0,AmidarDeterministic-v4,79017778.0,255.0,155.762,201.0
106,255.0,AmidarDeterministic-v4,79746829.0,255.0,154.571,201.0
107,255.0,AmidarDeterministic-v4,80477314.0,255.0,156.512,201.0
108,255.0,AmidarDeterministic-v4,81206280.0,255.0,156.616,201.0
109,255.0,AmidarDeterministic-v4,81934656.0,255.0,157.803,201.0
110,255.0,AmidarDeterministic-v4,82662567.0,255.0,158.431,201.0
111,255.0,AmidarDeterministic-v4,83387310.0,255.0,156.509,201.0
112,255.0,AmidarDeterministic-v4,84113766.0,255.0,158.93,201.0
113,255.0,AmidarDeterministic-v4,84844931.0,255.0,158.464,201.0
114,255.0,AmidarDeterministic-v4,85573572.0,255.0,158.696,201.0
115,255.0,AmidarDeterministic-v4,86303496.0,255.0,158.668,201.0
116,255.0,AmidarDeterministic-v4,87036919.0,255.0,157.439,201.0
117,255.0,AmidarDeterministic-v4,87765833.0,255.0,158.206,201.0
118,255.0,AmidarDeterministic-v4,88492338.0,255.0,156.948,201.0
119,255.0,AmidarDeterministic-v4,89220673.0,255.0,156.982,201.0
120,255.0,AmidarDeterministic-v4,89947060.0,255.0,157.329,201.0
121,255.0,AmidarDeterministic-v4,90672641.0,255.0,156.391,201.0
122,255.0,AmidarDeterministic-v4,91393528.0,255.0,155.807,201.0
123,255.0,AmidarDeterministic-v4,92120350.0,255.0,161.178,201.0
124,255.0,AmidarDeterministic-v4,92848526.0,255.0,160.57,201.0
125,255.0,AmidarDeterministic-v4,93564944.0,255.0,156.171,201.0
126,255.0,AmidarDeterministic-v4,94288449.0,255.0,157.837,201.0
127,255.0,AmidarDeterministic-v4,95010530.0,255.0,158.157,201.0
128,255.0,AmidarDeterministic-v4,95731990.0,255.0,158.215,201.0
129,255.0,AmidarDeterministic-v4,96451229.0,255.0,158.562,201.0
130,255.0,AmidarDeterministic-v4,97177250.0,255.0,159.615,201.0
131,255.0,AmidarDeterministic-v4,97903597.0,255.0,158.242,201.0
132,255.0,AmidarDeterministic-v4,98627767.0,255.0,157.895,201.0
133,255.0,AmidarDeterministic-v4,99349658.0,255.0,157.035,201.0
134,255.0,AmidarDeterministic-v4,100075419.0,255.0,159.413,201.0
135,255.0,AmidarDeterministic-v4,100804122.0,255.0,159.985,201.0
136,255.0,AmidarDeterministic-v4,101526074.0,255.0,157.933,201.0
137,255.0,AmidarDeterministic-v4,102253052.0,255.0,159.111,201.0
138,255.0,AmidarDeterministic-v4,102982508.0,255.0,158.822,201.0
139,255.0,AmidarDeterministic-v4,103708426.0,255.0,158.822,201.0
140,255.0,AmidarDeterministic-v4,104432626.0,255.0,160.706,201.0
141,255.0,AmidarDeterministic-v4,105156941.0,255.0,158.909,201.0
142,255.0,AmidarDeterministic-v4,105879429.0,255.0,159.289,201.0
143,255.0,AmidarDeterministic-v4,106602165.0,255.0,158.044,201.0
144,255.0,AmidarDeterministic-v4,107322788.0,255.0,161.917,201.0
145,255.0,AmidarDeterministic-v4,108037192.0,255.0,161.686,201.0
146,255.0,AmidarDeterministic-v4,108743853.0,255.0,159.71,201.0
147,255.0,AmidarDeterministic-v4,109457506.0,255.0,164.629,201.0
148,255.0,AmidarDeterministic-v4,110172041.0,255.0,163.806,201.0
149,255.0,AmidarDeterministic-v4,110881965.0,255.0,167.871,201.0
150,255.0,AmidarDeterministic-v4,111583974.0,255.0,171.625,202.0
151,255.0,AmidarDeterministic-v4,112275357.0,255.0,167.705,202.0
152,255.0,AmidarDeterministic-v4,112964074.0,255.0,171.134,202.0
153,255.0,AmidarDeterministic-v4,113646431.0,255.0,174.125,227.0
154,255.0,AmidarDeterministic-v4,114325400.0,255.0,176.505,230.0
155,255.0,AmidarDeterministic-v4,115015644.0,255.0,176.252,230.0
156,255.0,AmidarDeterministic-v4,115717625.0,255.0,175.866,230.0
157,255.0,AmidarDeterministic-v4,116420498.0,255.0,178.716,230.0
158,255.0,AmidarDeterministic-v4,117132556.0,255.0,176.866,230.0
159,255.0,AmidarDeterministic-v4,117851987.0,255.0,181.592,230.0
160,255.0,AmidarDeterministic-v4,118579887.0,255.0,181.252,230.0
161,255.0,AmidarDeterministic-v4,119317961.0,255.0,180.238,237.0
162,255.0,AmidarDeterministic-v4,120059505.0,255.0,181.798,245.0
163,255.0,AmidarDeterministic-v4,120808024.0,255.0,184.441,245.0
164,255.0,AmidarDeterministic-v4,121552513.0,255.0,185.782,245.0
165,255.0,AmidarDeterministic-v4,122295761.0,255.0,183.339,247.0
166,255.0,AmidarDeterministic-v4,123046929.0,255.0,184.678,250.0
167,255.0,AmidarDeterministic-v4,123796494.0,255.0,183.874,250.0
168,255.0,AmidarDeterministic-v4,124542204.0,255.0,182.326,250.0
169,255.0,AmidarDeterministic-v4,125293513.0,255.0,188.983,250.0
