,elite_avg,env,evals,max,mean,median
0,0.0,GravitarDeterministic-v4,545544.0,0.0,0.0,0.0
1,200.0,GravitarDeterministic-v4,1075033.0,250.0,4.25,0.0
2,150.0,GravitarDeterministic-v4,1579199.0,250.0,8.75,0.0
3,200.0,GravitarDeterministic-v4,2088257.0,250.0,9.0,0.0
4,200.0,GravitarDeterministic-v4,2606584.0,250.0,14.5,0.0
5,200.0,GravitarDeterministic-v4,3134159.0,250.0,14.75,0.0
6,200.0,GravitarDeterministic-v4,3671125.0,250.0,17.75,0.0
7,150.0,GravitarDeterministic-v4,4225335.0,250.0,19.25,0.0
8,150.0,GravitarDeterministic-v4,4794824.0,250.0,26.5,0.0
9,200.0,GravitarDeterministic-v4,5374832.0,250.0,29.5,0.0
10,200.0,GravitarDeterministic-v4,5973693.0,250.0,34.5,0.0
11,150.0,GravitarDeterministic-v4,6590801.0,250.0,38.5,0.0
12,200.0,GravitarDeterministic-v4,7233988.0,250.0,50.0,0.0
13,200.0,GravitarDeterministic-v4,7895945.0,250.0,49.75,0.0
14,150.0,GravitarDeterministic-v4,8568548.0,250.0,58.0,0.0
15,200.0,GravitarDeterministic-v4,9255239.0,250.0,55.75,0.0
16,200.0,GravitarDeterministic-v4,9945228.0,250.0,59.7,0.0
17,100.0,GravitarDeterministic-v4,10635923.0,250.0,58.5,0.0
18,150.0,GravitarDeterministic-v4,11336172.0,250.0,64.25,0.0
19,150.0,GravitarDeterministic-v4,12037201.0,250.0,59.5,0.0
20,200.0,GravitarDeterministic-v4,12737849.0,250.0,57.25,0.0
21,200.0,GravitarDeterministic-v4,13438700.0,250.0,55.75,0.0
22,150.0,GravitarDeterministic-v4,14144155.0,250.0,60.0,0.0
23,200.0,GravitarDeterministic-v4,14855547.0,250.0,61.25,0.0
24,150.0,GravitarDeterministic-v4,15564465.0,250.0,60.75,0.0
25,150.0,GravitarDeterministic-v4,16277038.0,250.0,68.5,0.0
26,150.0,GravitarDeterministic-v4,16993631.0,250.0,63.5,0.0
27,150.0,GravitarDeterministic-v4,17715139.0,250.0,71.5,0.0
28,100.0,GravitarDeterministic-v4,18436689.0,250.0,62.75,0.0
29,150.0,GravitarDeterministic-v4,19159804.0,250.0,71.0,0.0
30,150.0,GravitarDeterministic-v4,19878493.0,250.0,61.75,0.0
31,200.0,GravitarDeterministic-v4,20598595.0,250.0,64.5,0.0
32,150.0,GravitarDeterministic-v4,21316509.0,250.0,63.5,0.0
33,200.0,GravitarDeterministic-v4,22036260.0,250.0,66.5,0.0
34,250.0,GravitarDeterministic-v4,22761482.0,250.0,69.25,0.0
35,150.0,GravitarDeterministic-v4,23482739.0,250.0,62.5,0.0
36,200.0,GravitarDeterministic-v4,24205900.0,250.0,64.75,0.0
37,150.0,GravitarDeterministic-v4,24933685.0,250.0,72.0,0.0
38,150.0,GravitarDeterministic-v4,25661846.0,250.0,64.0,0.0
39,150.0,GravitarDeterministic-v4,26390363.0,250.0,65.25,0.0
40,200.0,GravitarDeterministic-v4,27120837.0,250.0,68.25,0.0
41,200.0,GravitarDeterministic-v4,27848238.0,250.0,66.0,0.0
42,200.0,GravitarDeterministic-v4,28572682.0,250.0,66.6,0.0
43,150.0,GravitarDeterministic-v4,29297709.0,250.0,69.1,0.0
44,200.0,GravitarDeterministic-v4,30025360.0,250.0,69.1,0.0
45,200.0,GravitarDeterministic-v4,30757726.0,250.0,71.6,0.0
46,200.0,GravitarDeterministic-v4,31487225.0,250.0,65.1,0.0
47,150.0,GravitarDeterministic-v4,32215917.0,750.0,73.75,0.0
48,150.0,GravitarDeterministic-v4,32940406.0,250.0,67.35,0.0
49,150.0,GravitarDeterministic-v4,33667992.0,250.0,70.5,0.0
50,200.0,GravitarDeterministic-v4,34394615.0,250.0,65.75,0.0
51,150.0,GravitarDeterministic-v4,35125302.0,250.0,66.25,0.0
52,150.0,GravitarDeterministic-v4,35855845.0,250.0,72.5,0.0
53,200.0,GravitarDeterministic-v4,36587170.0,250.0,66.5,0.0
54,200.0,GravitarDeterministic-v4,37318966.0,250.0,66.0,0.0
55,150.0,GravitarDeterministic-v4,38050817.0,250.0,69.0,0.0
56,150.0,GravitarDeterministic-v4,38778928.0,250.0,67.95,0.0
57,150.0,GravitarDeterministic-v4,39505001.0,250.0,70.5,0.0
58,150.0,GravitarDeterministic-v4,40232965.0,250.0,67.0,0.0
59,150.0,GravitarDeterministic-v4,40964171.0,250.0,71.0,0.0
60,200.0,GravitarDeterministic-v4,41696650.0,250.0,66.85,0.0
61,150.0,GravitarDeterministic-v4,42428177.0,250.0,68.25,0.0
62,100.0,GravitarDeterministic-v4,43160462.0,250.0,68.25,0.0
63,200.0,GravitarDeterministic-v4,43891389.0,250.0,67.75,0.0
64,200.0,GravitarDeterministic-v4,44622832.0,250.0,65.5,0.0
65,150.0,GravitarDeterministic-v4,45358774.0,250.0,70.5,0.0
66,150.0,GravitarDeterministic-v4,46092043.0,250.0,70.5,0.0
67,150.0,GravitarDeterministic-v4,46827240.0,500.0,68.75,0.0
68,250.0,GravitarDeterministic-v4,47562078.0,250.0,69.5,0.0
69,150.0,GravitarDeterministic-v4,48295080.0,250.0,68.0,0.0
70,200.0,GravitarDeterministic-v4,49028720.0,250.0,71.0,0.0
71,150.0,GravitarDeterministic-v4,49761750.0,250.0,78.7,0.0
72,150.0,GravitarDeterministic-v4,50491828.0,250.0,70.5,0.0
73,150.0,GravitarDeterministic-v4,51224847.0,500.0,69.35,0.0
74,150.0,GravitarDeterministic-v4,51959656.0,500.0,68.1,0.0
75,150.0,GravitarDeterministic-v4,52693303.0,250.0,59.1,0.0
76,100.0,GravitarDeterministic-v4,53428153.0,250.0,71.25,0.0
77,200.0,GravitarDeterministic-v4,54166683.0,250.0,75.5,0.0
78,150.0,GravitarDeterministic-v4,54903552.0,250.0,70.0,0.0
79,200.0,GravitarDeterministic-v4,55642509.0,250.0,69.75,0.0
80,150.0,GravitarDeterministic-v4,56379850.0,250.0,74.0,0.0
81,200.0,GravitarDeterministic-v4,57116123.0,250.0,65.5,0.0
82,200.0,GravitarDeterministic-v4,57850382.0,250.0,69.75,0.0
83,200.0,GravitarDeterministic-v4,58586284.0,250.0,70.0,0.0
84,150.0,GravitarDeterministic-v4,59323047.0,250.0,69.5,0.0
85,150.0,GravitarDeterministic-v4,60061073.0,250.0,73.75,0.0
86,150.0,GravitarDeterministic-v4,60798344.0,250.0,72.75,0.0
87,100.0,GravitarDeterministic-v4,61536584.0,250.0,75.5,0.0
88,200.0,GravitarDeterministic-v4,62272591.0,250.0,68.5,0.0
89,100.0,GravitarDeterministic-v4,63006613.0,250.0,66.25,0.0
90,150.0,GravitarDeterministic-v4,63741304.0,250.0,70.75,0.0
91,200.0,GravitarDeterministic-v4,64477606.0,250.0,72.25,0.0
92,150.0,GravitarDeterministic-v4,65216103.0,250.0,71.5,0.0
93,150.0,GravitarDeterministic-v4,65952694.0,250.0,70.5,0.0
94,150.0,GravitarDeterministic-v4,66688186.0,250.0,72.75,0.0
95,150.0,GravitarDeterministic-v4,67421860.0,500.0,69.6,0.0
96,200.0,GravitarDeterministic-v4,68158562.0,250.0,73.75,0.0
97,150.0,GravitarDeterministic-v4,68897560.0,250.0,72.0,0.0
98,150.0,GravitarDeterministic-v4,69634645.0,250.0,70.0,0.0
99,200.0,GravitarDeterministic-v4,70371042.0,250.0,67.0,0.0
100,150.0,GravitarDeterministic-v4,71109752.0,250.0,80.75,0.0
101,200.0,GravitarDeterministic-v4,71848270.0,250.0,69.75,0.0
102,150.0,GravitarDeterministic-v4,72586702.0,250.0,75.0,0.0
103,200.0,GravitarDeterministic-v4,73326514.0,250.0,70.75,0.0
104,150.0,GravitarDeterministic-v4,74065958.0,250.0,76.6,0.0
105,340.0,GravitarDeterministic-v4,74803899.0,750.0,74.5,0.0
106,230.0,GravitarDeterministic-v4,75541250.0,350.0,75.35,0.0
107,200.0,GravitarDeterministic-v4,76280972.0,250.0,75.6,0.0
108,150.0,GravitarDeterministic-v4,77018892.0,250.0,67.35,0.0
109,200.0,GravitarDeterministic-v4,77757930.0,250.0,73.1,0.0
110,200.0,GravitarDeterministic-v4,78495989.0,250.0,76.0,0.0
111,200.0,GravitarDeterministic-v4,79233305.0,250.0,70.25,0.0
112,150.0,GravitarDeterministic-v4,79970417.0,350.0,69.85,0.0
113,150.0,GravitarDeterministic-v4,80709902.0,250.0,70.5,0.0
114,200.0,GravitarDeterministic-v4,81449648.0,250.0,72.55,0.0
115,200.0,GravitarDeterministic-v4,82187753.0,250.0,68.1,0.0
116,150.0,GravitarDeterministic-v4,82927478.0,250.0,76.35,0.0
117,150.0,GravitarDeterministic-v4,83668817.0,250.0,74.95,0.0
118,150.0,GravitarDeterministic-v4,84407594.0,250.0,63.85,0.0
119,200.0,GravitarDeterministic-v4,85147267.0,350.0,79.35,0.0
120,310.0,GravitarDeterministic-v4,85889803.0,500.0,77.75,0.0
121,150.0,GravitarDeterministic-v4,86629484.0,250.0,71.35,0.0
122,200.0,GravitarDeterministic-v4,87371045.0,700.0,72.45,0.0
123,300.0,GravitarDeterministic-v4,88112457.0,500.0,76.95,0.0
124,150.0,GravitarDeterministic-v4,88847602.0,300.0,65.65,0.0
125,150.0,GravitarDeterministic-v4,89583286.0,250.0,66.7,0.0
126,200.0,GravitarDeterministic-v4,90317746.0,250.0,64.45,0.0
127,200.0,GravitarDeterministic-v4,91053528.0,250.0,71.7,0.0
128,150.0,GravitarDeterministic-v4,91794052.0,250.0,76.25,0.0
129,150.0,GravitarDeterministic-v4,92533170.0,250.0,71.25,0.0
130,150.0,GravitarDeterministic-v4,93271438.0,250.0,69.25,0.0
131,200.0,GravitarDeterministic-v4,94010178.0,250.0,68.8,0.0
132,200.0,GravitarDeterministic-v4,94749650.0,250.0,73.05,0.0
133,150.0,GravitarDeterministic-v4,95485972.0,250.0,62.85,0.0
134,150.0,GravitarDeterministic-v4,96224460.0,250.0,70.35,0.0
135,200.0,GravitarDeterministic-v4,96964662.0,500.0,77.25,0.0
136,150.0,GravitarDeterministic-v4,97703953.0,250.0,74.7,0.0
137,200.0,GravitarDeterministic-v4,98444784.0,250.0,68.75,0.0
138,250.0,GravitarDeterministic-v4,99187281.0,250.0,74.95,0.0
139,150.0,GravitarDeterministic-v4,99926560.0,250.0,71.7,0.0
140,200.0,GravitarDeterministic-v4,100665205.0,500.0,77.35,0.0
141,250.0,GravitarDeterministic-v4,101404405.0,250.0,73.7,0.0
142,200.0,GravitarDeterministic-v4,102142389.0,250.0,72.35,0.0
143,150.0,GravitarDeterministic-v4,102879564.0,250.0,69.95,0.0
144,200.0,GravitarDeterministic-v4,103619583.0,250.0,71.0,0.0
145,150.0,GravitarDeterministic-v4,104357539.0,250.0,70.95,0.0
146,150.0,GravitarDeterministic-v4,105094852.0,250.0,65.25,0.0
147,240.0,GravitarDeterministic-v4,105832748.0,250.0,72.0,0.0
148,150.0,GravitarDeterministic-v4,106570938.0,250.0,71.85,0.0
149,150.0,GravitarDeterministic-v4,107309923.0,250.0,77.6,0.0
150,200.0,GravitarDeterministic-v4,108049336.0,250.0,71.3,0.0
151,150.0,GravitarDeterministic-v4,108787406.0,250.0,70.1,0.0
152,190.0,GravitarDeterministic-v4,109523537.0,600.0,75.7,0.0
153,150.0,GravitarDeterministic-v4,110256662.0,250.0,68.6,0.0
154,150.0,GravitarDeterministic-v4,110991387.0,250.0,74.6,0.0
155,150.0,GravitarDeterministic-v4,111729087.0,500.0,79.35,0.0
156,150.0,GravitarDeterministic-v4,112470132.0,250.0,69.75,0.0
157,100.0,GravitarDeterministic-v4,113209526.0,250.0,68.85,0.0
158,200.0,GravitarDeterministic-v4,113949911.0,250.0,71.2,0.0
159,150.0,GravitarDeterministic-v4,114691197.0,250.0,73.2,0.0
160,250.0,GravitarDeterministic-v4,115429996.0,250.0,66.95,0.0
161,200.0,GravitarDeterministic-v4,116163772.0,350.0,68.95,0.0
162,150.0,GravitarDeterministic-v4,116897135.0,250.0,72.95,0.0
163,150.0,GravitarDeterministic-v4,117635303.0,250.0,66.1,0.0
164,150.0,GravitarDeterministic-v4,118375669.0,250.0,73.75,0.0
165,150.0,GravitarDeterministic-v4,119111788.0,250.0,66.25,0.0
166,150.0,GravitarDeterministic-v4,119847865.0,250.0,65.95,0.0
167,150.0,GravitarDeterministic-v4,120581058.0,250.0,63.8,0.0
168,200.0,GravitarDeterministic-v4,121317831.0,500.0,71.6,0.0
169,150.0,GravitarDeterministic-v4,122055324.0,500.0,69.8,0.0
170,150.0,GravitarDeterministic-v4,122796152.0,250.0,72.55,0.0
171,250.0,GravitarDeterministic-v4,123532512.0,500.0,74.4,0.0
172,200.0,GravitarDeterministic-v4,124264393.0,250.0,67.2,0.0
173,200.0,GravitarDeterministic-v4,124998841.0,350.0,75.7,0.0
174,150.0,GravitarDeterministic-v4,125735789.0,250.0,67.6,0.0
175,200.0,GravitarDeterministic-v4,126474847.0,500.0,70.35,0.0
176,250.0,GravitarDeterministic-v4,127211716.0,500.0,77.6,0.0
177,150.0,GravitarDeterministic-v4,127947215.0,250.0,65.6,0.0
178,150.0,GravitarDeterministic-v4,128684729.0,250.0,66.55,0.0
179,150.0,GravitarDeterministic-v4,129423922.0,250.0,71.95,0.0
180,180.0,GravitarDeterministic-v4,130162159.0,350.0,66.35,0.0
181,200.0,GravitarDeterministic-v4,130898974.0,250.0,75.5,0.0
182,200.0,GravitarDeterministic-v4,131636457.0,500.0,74.45,0.0
183,150.0,GravitarDeterministic-v4,132374139.0,500.0,74.5,0.0
184,280.0,GravitarDeterministic-v4,133113532.0,500.0,74.05,0.0
185,260.0,GravitarDeterministic-v4,133854849.0,500.0,72.2,0.0
186,250.0,GravitarDeterministic-v4,134595813.0,250.0,75.35,0.0
187,150.0,GravitarDeterministic-v4,135335648.0,250.0,73.5,0.0
188,150.0,GravitarDeterministic-v4,136075322.0,500.0,69.55,0.0
189,150.0,GravitarDeterministic-v4,136814327.0,300.0,75.65,0.0
190,170.0,GravitarDeterministic-v4,137552651.0,300.0,69.25,0.0
191,150.0,GravitarDeterministic-v4,138288737.0,500.0,72.2,0.0
192,200.0,GravitarDeterministic-v4,139026915.0,500.0,76.3,0.0
193,200.0,GravitarDeterministic-v4,139764537.0,500.0,69.6,0.0
194,150.0,GravitarDeterministic-v4,140505317.0,500.0,70.2,0.0
195,270.0,GravitarDeterministic-v4,141244740.0,500.0,74.4,0.0
196,150.0,GravitarDeterministic-v4,141982037.0,250.0,63.9,0.0
197,180.0,GravitarDeterministic-v4,142723238.0,500.0,76.5,0.0
198,290.0,GravitarDeterministic-v4,143462777.0,500.0,75.9,0.0
199,200.0,GravitarDeterministic-v4,144198634.0,250.0,67.25,0.0
200,270.0,GravitarDeterministic-v4,144936915.0,350.0,69.55,0.0
201,210.0,GravitarDeterministic-v4,145669796.0,350.0,70.3,0.0
202,300.0,GravitarDeterministic-v4,146405964.0,350.0,69.55,0.0
203,200.0,GravitarDeterministic-v4,147144253.0,500.0,72.3,0.0
204,240.0,GravitarDeterministic-v4,147885463.0,500.0,73.1,0.0
205,200.0,GravitarDeterministic-v4,148626229.0,500.0,72.15,0.0
206,250.0,GravitarDeterministic-v4,149363176.0,500.0,70.3,0.0
207,270.0,GravitarDeterministic-v4,150100205.0,500.0,74.4,0.0
208,250.0,GravitarDeterministic-v4,150837525.0,500.0,68.55,0.0
209,150.0,GravitarDeterministic-v4,151574753.0,250.0,74.9,0.0
210,310.0,GravitarDeterministic-v4,152314250.0,350.0,74.95,0.0
211,200.0,GravitarDeterministic-v4,153050736.0,500.0,71.0,0.0
212,290.0,GravitarDeterministic-v4,153790154.0,350.0,74.95,0.0
213,200.0,GravitarDeterministic-v4,154530483.0,500.0,65.6,0.0
214,200.0,GravitarDeterministic-v4,155272676.0,550.0,75.45,0.0
215,200.0,GravitarDeterministic-v4,156007827.0,500.0,71.05,0.0
216,170.0,GravitarDeterministic-v4,156743160.0,500.0,76.75,0.0
217,140.0,GravitarDeterministic-v4,157482260.0,550.0,71.9,0.0
218,200.0,GravitarDeterministic-v4,158223784.0,500.0,73.05,0.0
219,310.0,GravitarDeterministic-v4,158962545.0,350.0,72.85,0.0
220,200.0,GravitarDeterministic-v4,159697613.0,250.0,66.15,0.0
221,200.0,GravitarDeterministic-v4,160433773.0,500.0,71.6,0.0
222,150.0,GravitarDeterministic-v4,161169977.0,500.0,68.2,0.0
223,200.0,GravitarDeterministic-v4,161906623.0,350.0,76.2,0.0
224,200.0,GravitarDeterministic-v4,162647567.0,250.0,67.65,0.0
225,240.0,GravitarDeterministic-v4,163389641.0,750.0,74.4,0.0
226,260.0,GravitarDeterministic-v4,164129032.0,750.0,76.9,0.0
227,250.0,GravitarDeterministic-v4,164864540.0,300.0,74.15,0.0
228,270.0,GravitarDeterministic-v4,165601290.0,350.0,68.0,0.0
229,190.0,GravitarDeterministic-v4,166336601.0,600.0,68.2,0.0
230,150.0,GravitarDeterministic-v4,167070712.0,350.0,69.5,0.0
231,260.0,GravitarDeterministic-v4,167807530.0,500.0,71.55,0.0
232,200.0,GravitarDeterministic-v4,168544950.0,500.0,73.9,0.0
233,150.0,GravitarDeterministic-v4,169283149.0,500.0,78.75,0.0
234,150.0,GravitarDeterministic-v4,170020859.0,500.0,72.2,0.0
235,250.0,GravitarDeterministic-v4,170759099.0,500.0,69.45,0.0
236,290.0,GravitarDeterministic-v4,171494504.0,500.0,71.8,0.0
237,150.0,GravitarDeterministic-v4,172230014.0,300.0,74.65,0.0
238,290.0,GravitarDeterministic-v4,172965723.0,500.0,73.35,0.0
239,150.0,GravitarDeterministic-v4,173699852.0,300.0,71.8,0.0
240,150.0,GravitarDeterministic-v4,174436362.0,250.0,68.75,0.0
241,310.0,GravitarDeterministic-v4,175175144.0,350.0,70.8,0.0
242,150.0,GravitarDeterministic-v4,175911781.0,600.0,73.0,0.0
243,240.0,GravitarDeterministic-v4,176650353.0,500.0,77.0,0.0
244,280.0,GravitarDeterministic-v4,177385968.0,500.0,72.35,0.0
245,150.0,GravitarDeterministic-v4,178123400.0,500.0,76.15,0.0
246,260.0,GravitarDeterministic-v4,178859320.0,500.0,75.95,0.0
247,200.0,GravitarDeterministic-v4,179590347.0,500.0,70.85,0.0
248,270.0,GravitarDeterministic-v4,180321312.0,350.0,69.3,0.0
249,250.0,GravitarDeterministic-v4,181057810.0,500.0,77.95,0.0
250,200.0,GravitarDeterministic-v4,181792458.0,250.0,70.95,0.0
251,300.0,GravitarDeterministic-v4,182533834.0,500.0,76.9,0.0
252,350.0,GravitarDeterministic-v4,183270502.0,500.0,73.2,0.0
253,200.0,GravitarDeterministic-v4,184006412.0,500.0,77.0,0.0
254,200.0,GravitarDeterministic-v4,184740740.0,500.0,71.05,0.0
255,190.0,GravitarDeterministic-v4,185475043.0,500.0,74.05,0.0
256,210.0,GravitarDeterministic-v4,186210893.0,600.0,76.45,0.0
257,240.0,GravitarDeterministic-v4,186954594.0,600.0,72.2,0.0
258,240.0,GravitarDeterministic-v4,187693126.0,500.0,73.1,0.0
259,270.0,GravitarDeterministic-v4,188426713.0,500.0,69.2,0.0
260,200.0,GravitarDeterministic-v4,189161151.0,700.0,75.55,0.0
261,280.0,GravitarDeterministic-v4,189899998.0,500.0,69.95,0.0
262,190.0,GravitarDeterministic-v4,190634129.0,500.0,74.35,0.0
263,450.0,GravitarDeterministic-v4,191367178.0,1000.0,76.1,0.0
264,300.0,GravitarDeterministic-v4,192101626.0,500.0,80.5,0.0
265,330.0,GravitarDeterministic-v4,192840024.0,500.0,76.15,0.0
266,280.0,GravitarDeterministic-v4,193575756.0,500.0,76.5,0.0
267,270.0,GravitarDeterministic-v4,194305763.0,750.0,75.05,0.0
268,300.0,GravitarDeterministic-v4,195041469.0,500.0,77.05,0.0
269,270.0,GravitarDeterministic-v4,195781609.0,500.0,84.45,0.0
270,230.0,GravitarDeterministic-v4,196522684.0,500.0,71.7,0.0
271,330.0,GravitarDeterministic-v4,197260819.0,600.0,75.75,0.0
272,320.0,GravitarDeterministic-v4,197995011.0,750.0,74.1,0.0
273,330.0,GravitarDeterministic-v4,198731584.0,600.0,76.65,0.0
274,260.0,GravitarDeterministic-v4,199467872.0,500.0,77.7,0.0
275,200.0,GravitarDeterministic-v4,200203058.0,750.0,79.0,0.0
276,310.0,GravitarDeterministic-v4,200935025.0,500.0,75.3,0.0
277,290.0,GravitarDeterministic-v4,201668487.0,500.0,81.15,0.0
278,250.0,GravitarDeterministic-v4,202399114.0,850.0,81.25,0.0
279,320.0,GravitarDeterministic-v4,203134526.0,950.0,78.95,0.0
280,260.0,GravitarDeterministic-v4,203866195.0,500.0,74.75,0.0
281,250.0,GravitarDeterministic-v4,204601736.0,700.0,79.65,0.0
282,350.0,GravitarDeterministic-v4,205336160.0,700.0,79.95,0.0
283,510.0,GravitarDeterministic-v4,206073042.0,700.0,75.45,0.0
284,250.0,GravitarDeterministic-v4,206810591.0,500.0,79.75,0.0
285,310.0,GravitarDeterministic-v4,207538956.0,500.0,73.55,0.0
286,300.0,GravitarDeterministic-v4,208270215.0,600.0,83.65,0.0
287,530.0,GravitarDeterministic-v4,209002557.0,800.0,83.8,0.0
288,400.0,GravitarDeterministic-v4,209741380.0,500.0,76.3,0.0
289,460.0,GravitarDeterministic-v4,210470588.0,750.0,80.9,0.0
290,400.0,GravitarDeterministic-v4,211206457.0,750.0,81.5,0.0
291,450.0,GravitarDeterministic-v4,211937047.0,600.0,82.3,0.0
292,370.0,GravitarDeterministic-v4,212663884.0,500.0,84.95,0.0
293,450.0,GravitarDeterministic-v4,213399951.0,600.0,81.95,0.0
294,330.0,GravitarDeterministic-v4,214124117.0,500.0,80.45,0.0
295,540.0,GravitarDeterministic-v4,214845282.0,700.0,88.8,0.0
296,450.0,GravitarDeterministic-v4,215582032.0,500.0,84.3,0.0
297,290.0,GravitarDeterministic-v4,216306244.0,850.0,88.85,0.0
298,420.0,GravitarDeterministic-v4,217026413.0,600.0,88.35,0.0
299,370.0,GravitarDeterministic-v4,217748525.0,600.0,82.95,0.0
300,420.0,GravitarDeterministic-v4,218463495.0,600.0,93.05,0.0
301,400.0,GravitarDeterministic-v4,219178461.0,900.0,84.65,0.0
302,440.0,GravitarDeterministic-v4,219895064.0,600.0,81.5,0.0
303,400.0,GravitarDeterministic-v4,220608592.0,500.0,86.15,0.0
304,500.0,GravitarDeterministic-v4,221324374.0,700.0,92.9,0.0
305,450.0,GravitarDeterministic-v4,222034116.0,750.0,93.3,0.0
306,500.0,GravitarDeterministic-v4,222748413.0,600.0,91.2,0.0
307,530.0,GravitarDeterministic-v4,223459257.0,850.0,91.45,0.0
308,410.0,GravitarDeterministic-v4,224166034.0,700.0,94.95,0.0
309,450.0,GravitarDeterministic-v4,224874185.0,750.0,98.55,0.0
310,440.0,GravitarDeterministic-v4,225586997.0,750.0,105.1,0.0
311,580.0,GravitarDeterministic-v4,226295909.0,600.0,106.05,0.0
312,540.0,GravitarDeterministic-v4,227004120.0,600.0,100.05,0.0
313,430.0,GravitarDeterministic-v4,227710102.0,850.0,100.85,0.0
314,410.0,GravitarDeterministic-v4,228410994.0,700.0,105.85,0.0
315,400.0,GravitarDeterministic-v4,229111909.0,1000.0,110.2,0.0
316,400.0,GravitarDeterministic-v4,229812874.0,750.0,109.6,0.0
317,370.0,GravitarDeterministic-v4,230512441.0,850.0,105.4,0.0
318,470.0,GravitarDeterministic-v4,231207418.0,700.0,110.5,0.0
319,520.0,GravitarDeterministic-v4,231907554.0,850.0,121.0,0.0
320,370.0,GravitarDeterministic-v4,232613758.0,800.0,112.45,0.0
321,560.0,GravitarDeterministic-v4,233301801.0,850.0,115.95,0.0
322,470.0,GravitarDeterministic-v4,233984280.0,850.0,113.3,0.0
323,420.0,GravitarDeterministic-v4,234678309.0,800.0,123.45,0.0
324,450.0,GravitarDeterministic-v4,235377387.0,750.0,121.95,0.0
325,350.0,GravitarDeterministic-v4,236072938.0,750.0,128.5,0.0
326,440.0,GravitarDeterministic-v4,236770073.0,850.0,123.3,0.0
327,470.0,GravitarDeterministic-v4,237465561.0,700.0,119.85,0.0
328,420.0,GravitarDeterministic-v4,238165220.0,850.0,125.95,0.0
329,500.0,GravitarDeterministic-v4,238865421.0,950.0,129.45,100.0
330,450.0,GravitarDeterministic-v4,239563794.0,850.0,131.25,100.0
331,400.0,GravitarDeterministic-v4,240261803.0,750.0,134.4,100.0
332,450.0,GravitarDeterministic-v4,240950214.0,1050.0,130.45,100.0
333,460.0,GravitarDeterministic-v4,241637537.0,850.0,134.35,150.0
334,410.0,GravitarDeterministic-v4,242328579.0,750.0,131.0,100.0
335,450.0,GravitarDeterministic-v4,243022189.0,550.0,137.4,250.0
336,420.0,GravitarDeterministic-v4,243707083.0,750.0,129.8,50.0
337,340.0,GravitarDeterministic-v4,244395019.0,800.0,129.7,100.0
338,370.0,GravitarDeterministic-v4,245082443.0,750.0,129.45,0.0
339,520.0,GravitarDeterministic-v4,245781200.0,700.0,135.95,100.0
340,450.0,GravitarDeterministic-v4,246465862.0,750.0,134.1,100.0
341,420.0,GravitarDeterministic-v4,247146067.0,2000.0,135.6,100.0
342,420.0,GravitarDeterministic-v4,247836889.0,850.0,133.85,100.0
343,400.0,GravitarDeterministic-v4,248521155.0,950.0,131.45,100.0
344,370.0,GravitarDeterministic-v4,249209039.0,750.0,136.95,250.0
345,440.0,GravitarDeterministic-v4,249896608.0,850.0,133.8,150.0
346,540.0,GravitarDeterministic-v4,250581300.0,900.0,132.8,100.0
347,390.0,GravitarDeterministic-v4,251258543.0,700.0,137.8,250.0
348,490.0,GravitarDeterministic-v4,251948991.0,750.0,137.5,250.0
349,440.0,GravitarDeterministic-v4,252622822.0,700.0,134.15,150.0
350,390.0,GravitarDeterministic-v4,253300981.0,750.0,130.9,100.0
351,450.0,GravitarDeterministic-v4,253993381.0,700.0,137.55,250.0
352,520.0,GravitarDeterministic-v4,254682326.0,750.0,137.3,250.0
353,480.0,GravitarDeterministic-v4,255370150.0,750.0,138.15,250.0
354,510.0,GravitarDeterministic-v4,256053167.0,750.0,136.85,150.0
355,640.0,GravitarDeterministic-v4,256732387.0,750.0,133.6,100.0
356,440.0,GravitarDeterministic-v4,257420877.0,600.0,134.55,200.0
