,elite_avg,env,evals,max,mean,median
0,260.0,GravitarDeterministic-v4,702725.0,750.0,33.15,0.0
1,440.0,GravitarDeterministic-v4,1300791.0,500.0,24.6,0.0
2,520.0,GravitarDeterministic-v4,1828926.0,500.0,18.55,0.0
3,450.0,GravitarDeterministic-v4,2361462.0,850.0,18.95,0.0
4,350.0,GravitarDeterministic-v4,2890992.0,500.0,19.6,0.0
5,310.0,GravitarDeterministic-v4,3433538.0,350.0,22.1,0.0
6,200.0,GravitarDeterministic-v4,3995545.0,250.0,27.55,0.0
7,250.0,GravitarDeterministic-v4,4567164.0,350.0,28.15,0.0
8,200.0,GravitarDeterministic-v4,5146325.0,250.0,33.6,0.0
9,150.0,GravitarDeterministic-v4,5755357.0,250.0,37.2,0.0
10,250.0,GravitarDeterministic-v4,6375694.0,500.0,38.95,0.0
11,250.0,GravitarDeterministic-v4,7017366.0,500.0,45.25,0.0
12,200.0,GravitarDeterministic-v4,7680106.0,350.0,54.35,0.0
13,350.0,GravitarDeterministic-v4,8347509.0,500.0,56.5,0.0
14,200.0,GravitarDeterministic-v4,9020308.0,250.0,58.1,0.0
15,200.0,GravitarDeterministic-v4,9702362.0,250.0,52.35,0.0
16,150.0,GravitarDeterministic-v4,10390510.0,250.0,54.5,0.0
17,350.0,GravitarDeterministic-v4,11078144.0,500.0,61.1,0.0
18,350.0,GravitarDeterministic-v4,11772698.0,500.0,61.0,0.0
19,150.0,GravitarDeterministic-v4,12468140.0,250.0,66.6,0.0
20,200.0,GravitarDeterministic-v4,13168122.0,250.0,68.0,0.0
21,150.0,GravitarDeterministic-v4,13872052.0,250.0,69.1,0.0
22,200.0,GravitarDeterministic-v4,14577442.0,250.0,63.1,0.0
23,250.0,GravitarDeterministic-v4,15281218.0,250.0,61.35,0.0
24,150.0,GravitarDeterministic-v4,15985844.0,250.0,61.35,0.0
25,250.0,GravitarDeterministic-v4,16691104.0,250.0,62.25,0.0
26,150.0,GravitarDeterministic-v4,17397294.0,250.0,65.0,0.0
27,400.0,GravitarDeterministic-v4,18107057.0,500.0,66.5,0.0
28,150.0,GravitarDeterministic-v4,18814069.0,250.0,67.5,0.0
29,350.0,GravitarDeterministic-v4,19526527.0,500.0,66.25,0.0
30,200.0,GravitarDeterministic-v4,20236847.0,250.0,59.75,0.0
31,300.0,GravitarDeterministic-v4,20947076.0,500.0,61.45,0.0
32,200.0,GravitarDeterministic-v4,21660565.0,250.0,64.4,0.0
33,150.0,GravitarDeterministic-v4,22376193.0,250.0,63.5,0.0
34,150.0,GravitarDeterministic-v4,23095056.0,250.0,64.0,0.0
35,250.0,GravitarDeterministic-v4,23815058.0,250.0,67.4,0.0
36,200.0,GravitarDeterministic-v4,24532740.0,250.0,67.25,0.0
37,150.0,GravitarDeterministic-v4,25255533.0,250.0,71.5,0.0
38,200.0,GravitarDeterministic-v4,25979554.0,250.0,69.15,0.0
39,150.0,GravitarDeterministic-v4,26698295.0,250.0,67.5,0.0
40,200.0,GravitarDeterministic-v4,27418452.0,250.0,66.15,0.0
41,300.0,GravitarDeterministic-v4,28141095.0,500.0,72.9,0.0
42,450.0,GravitarDeterministic-v4,28862966.0,500.0,65.4,0.0
43,200.0,GravitarDeterministic-v4,29580548.0,250.0,65.9,0.0
44,150.0,GravitarDeterministic-v4,30295813.0,250.0,67.75,0.0
45,200.0,GravitarDeterministic-v4,31011778.0,250.0,68.0,0.0
46,250.0,GravitarDeterministic-v4,31726356.0,250.0,60.65,0.0
47,200.0,GravitarDeterministic-v4,32445782.0,250.0,67.4,0.0
48,200.0,GravitarDeterministic-v4,33163686.0,250.0,59.75,0.0
49,150.0,GravitarDeterministic-v4,33881044.0,250.0,66.5,0.0
50,150.0,GravitarDeterministic-v4,34601329.0,250.0,69.4,0.0
51,200.0,GravitarDeterministic-v4,35325377.0,250.0,69.75,0.0
52,200.0,GravitarDeterministic-v4,36045423.0,250.0,65.65,0.0
53,200.0,GravitarDeterministic-v4,36767545.0,250.0,69.15,0.0
54,150.0,GravitarDeterministic-v4,37497547.0,250.0,69.5,0.0
55,150.0,GravitarDeterministic-v4,38227610.0,250.0,65.9,0.0
56,350.0,GravitarDeterministic-v4,38953120.0,500.0,66.9,0.0
57,150.0,GravitarDeterministic-v4,39679679.0,250.0,73.25,0.0
58,150.0,GravitarDeterministic-v4,40403317.0,250.0,68.4,0.0
59,150.0,GravitarDeterministic-v4,41126186.0,250.0,67.65,0.0
60,250.0,GravitarDeterministic-v4,41848006.0,250.0,65.9,0.0
61,150.0,GravitarDeterministic-v4,42573753.0,250.0,71.75,0.0
62,200.0,GravitarDeterministic-v4,43301921.0,250.0,70.75,0.0
63,200.0,GravitarDeterministic-v4,44030879.0,250.0,73.4,0.0
64,300.0,GravitarDeterministic-v4,44759721.0,500.0,72.9,0.0
65,250.0,GravitarDeterministic-v4,45486125.0,500.0,76.4,0.0
66,350.0,GravitarDeterministic-v4,46214974.0,500.0,66.65,0.0
67,100.0,GravitarDeterministic-v4,46940182.0,250.0,66.9,0.0
68,200.0,GravitarDeterministic-v4,47663080.0,250.0,67.25,0.0
69,400.0,GravitarDeterministic-v4,48384967.0,500.0,68.9,0.0
70,250.0,GravitarDeterministic-v4,49108617.0,500.0,69.5,0.0
71,300.0,GravitarDeterministic-v4,49827588.0,500.0,69.0,0.0
72,200.0,GravitarDeterministic-v4,50548151.0,250.0,65.65,0.0
73,200.0,GravitarDeterministic-v4,51270063.0,250.0,69.75,0.0
74,350.0,GravitarDeterministic-v4,51996922.0,500.0,72.4,0.0
75,350.0,GravitarDeterministic-v4,52719407.0,500.0,62.35,0.0
76,200.0,GravitarDeterministic-v4,53441399.0,250.0,68.65,0.0
77,300.0,GravitarDeterministic-v4,54164839.0,500.0,66.65,0.0
78,200.0,GravitarDeterministic-v4,54896031.0,250.0,73.9,0.0
79,150.0,GravitarDeterministic-v4,55632480.0,250.0,66.4,0.0
80,200.0,GravitarDeterministic-v4,56367405.0,250.0,71.4,0.0
81,350.0,GravitarDeterministic-v4,57099370.0,500.0,64.25,0.0
82,150.0,GravitarDeterministic-v4,57832003.0,250.0,76.5,0.0
83,300.0,GravitarDeterministic-v4,58564186.0,500.0,71.15,0.0
