,elite_avg,env,evals,max,mean,median
0,260.0,GravitarDeterministic-v4,586080.0,600.0,33.4,0.0
1,370.0,GravitarDeterministic-v4,1206982.0,750.0,52.9,0.0
2,430.0,GravitarDeterministic-v4,1881562.0,850.0,82.0,0.0
3,430.0,GravitarDeterministic-v4,2605062.0,950.0,117.15,0.0
4,470.0,GravitarDeterministic-v4,3364792.0,850.0,136.5,100.0
5,530.0,GravitarDeterministic-v4,4132972.0,2200.0,158.7,100.0
6,470.0,GravitarDeterministic-v4,4910405.0,1050.0,164.95,100.0
7,620.0,GravitarDeterministic-v4,5702284.0,1150.0,191.85,250.0
8,580.0,GravitarDeterministic-v4,6498389.0,1050.0,189.35,250.0
9,520.0,GravitarDeterministic-v4,7301807.0,1050.0,206.45,250.0
10,570.0,GravitarDeterministic-v4,8095711.0,1050.0,206.35,250.0
11,530.0,GravitarDeterministic-v4,8892269.0,1000.0,235.5,250.0
12,520.0,GravitarDeterministic-v4,9690656.0,1050.0,258.35,250.0
13,590.0,GravitarDeterministic-v4,10484934.0,1100.0,269.0,250.0
14,590.0,GravitarDeterministic-v4,11282960.0,1150.0,279.9,250.0
15,570.0,GravitarDeterministic-v4,12093975.0,2000.0,276.3,250.0
16,780.0,GravitarDeterministic-v4,12895105.0,1100.0,278.25,250.0
17,570.0,GravitarDeterministic-v4,13695307.0,1150.0,282.15,250.0
18,660.0,GravitarDeterministic-v4,14508035.0,1300.0,299.25,250.0
19,810.0,GravitarDeterministic-v4,15312498.0,1150.0,292.75,250.0
20,660.0,GravitarDeterministic-v4,16110355.0,2100.0,300.75,250.0
21,550.0,GravitarDeterministic-v4,16922012.0,1100.0,311.1,250.0
22,760.0,GravitarDeterministic-v4,17739992.0,2100.0,330.8,350.0
23,580.0,GravitarDeterministic-v4,18560431.0,1050.0,345.65,350.0
24,560.0,GravitarDeterministic-v4,19378353.0,1150.0,336.9,350.0
25,640.0,GravitarDeterministic-v4,20195456.0,1300.0,342.55,350.0
26,740.0,GravitarDeterministic-v4,21013926.0,2100.0,356.5,350.0
27,570.0,GravitarDeterministic-v4,21839990.0,1200.0,377.45,350.0
28,760.0,GravitarDeterministic-v4,22656437.0,2000.0,372.7,350.0
29,810.0,GravitarDeterministic-v4,23486355.0,1200.0,395.25,450.0
30,950.0,GravitarDeterministic-v4,24301831.0,1200.0,368.05,350.0
31,780.0,GravitarDeterministic-v4,25116241.0,1050.0,374.7,350.0
32,540.0,GravitarDeterministic-v4,25948809.0,1150.0,387.05,450.0
33,950.0,GravitarDeterministic-v4,26776980.0,2000.0,399.4,450.0
34,860.0,GravitarDeterministic-v4,27604367.0,2000.0,384.1,350.0
35,950.0,GravitarDeterministic-v4,28437233.0,1050.0,397.0,450.0
36,950.0,GravitarDeterministic-v4,29269105.0,1150.0,398.45,450.0
37,840.0,GravitarDeterministic-v4,30101358.0,1150.0,392.25,450.0
38,950.0,GravitarDeterministic-v4,30924136.0,1250.0,400.5,450.0
39,860.0,GravitarDeterministic-v4,31763829.0,1100.0,406.65,500.0
40,830.0,GravitarDeterministic-v4,32591855.0,1100.0,410.55,450.0
41,670.0,GravitarDeterministic-v4,33417540.0,2100.0,396.9,450.0
42,950.0,GravitarDeterministic-v4,34248338.0,1100.0,398.75,450.0
43,910.0,GravitarDeterministic-v4,35080815.0,1150.0,384.5,350.0
44,880.0,GravitarDeterministic-v4,35911711.0,1200.0,395.25,450.0
45,830.0,GravitarDeterministic-v4,36738054.0,1100.0,402.55,500.0
46,900.0,GravitarDeterministic-v4,37577327.0,2450.0,405.6,500.0
47,830.0,GravitarDeterministic-v4,38399391.0,2000.0,420.1,500.0
48,900.0,GravitarDeterministic-v4,39221486.0,2000.0,409.35,450.0
49,920.0,GravitarDeterministic-v4,40051218.0,2100.0,400.4,450.0
50,930.0,GravitarDeterministic-v4,40873469.0,2100.0,403.75,450.0
51,770.0,GravitarDeterministic-v4,41711123.0,1250.0,403.25,450.0
52,880.0,GravitarDeterministic-v4,42534384.0,1150.0,413.75,500.0
53,840.0,GravitarDeterministic-v4,43358252.0,1150.0,392.65,450.0
54,890.0,GravitarDeterministic-v4,44193842.0,1200.0,394.75,450.0
55,890.0,GravitarDeterministic-v4,45028020.0,1200.0,410.5,500.0
56,1050.0,GravitarDeterministic-v4,45858280.0,1150.0,401.2,450.0
57,2100.0,GravitarDeterministic-v4,46690285.0,2100.0,392.6,450.0
58,1260.0,GravitarDeterministic-v4,47524328.0,2100.0,404.95,500.0
59,1780.0,GravitarDeterministic-v4,48356504.0,2100.0,382.8,450.0
