,elite_avg,evals,max,mean,median
0,220.5,1060000.0,270.0,36.73,10.0
1,217.5,2120000.0,240.0,86.37,80.0
2,497.0,3180000.0,830.0,134.26,150.0
3,502.5,4240000.0,780.0,167.42,160.0
4,558.0,5300000.0,2210.0,180.01,170.0
5,384.0,6360000.0,1080.0,199.21,200.0
6,415.5,7420000.0,1610.0,211.15,210.0
7,527.5,8480000.0,770.0,215.28,220.0
8,630.5,9540000.0,780.0,221.65,220.0
9,667.5,10600000.0,790.0,227.0,230.0
10,630.5,11660000.0,800.0,232.19,230.0
11,670.5,12720000.0,760.0,235.07,240.0
12,595.5,13780000.0,1520.0,238.67,240.0
13,536.5,14840000.0,790.0,240.51,240.0
14,699.0,15900000.0,790.0,241.06,250.0
15,636.5,16960000.0,790.0,244.65,250.0
16,587.5,18020000.0,860.0,246.82,250.0
17,765.0,19080000.0,790.0,247.64,250.0
18,650.5,20140000.0,760.0,248.54,250.0
19,340.5,21200000.0,760.0,248.09,250.0
20,596.5,22260000.0,780.0,248.93,250.0
21,627.0,23320000.0,970.0,253.65,260.0
22,626.5,24380000.0,780.0,251.1,260.0
23,660.5,25440000.0,780.0,253.89,260.0
24,679.5,26500000.0,780.0,253.07,260.0
25,640.5,27560000.0,760.0,255.29,260.0
26,691.5,28620000.0,760.0,252.09,260.0
27,685.5,29680000.0,760.0,254.57,260.0
28,683.0,30740000.0,790.0,255.99,260.0
29,782.5,31800000.0,930.0,255.77,260.0
30,794.0,32860000.0,930.0,259.35,260.0
31,768.0,33920000.0,970.0,262.02,260.0
32,686.5,34980000.0,980.0,265.41,260.0
33,722.5,36040000.0,970.0,273.32,270.0
34,763.5,37100000.0,1150.0,273.31,270.0
35,780.0,38160000.0,980.0,279.84,270.0
36,694.5,39220000.0,970.0,279.22,270.0
37,645.0,40280000.0,1200.0,291.44,270.0
38,599.0,41340000.0,1060.0,299.15,270.0
39,483.5,42400000.0,930.0,308.15,270.0
40,704.0,43460000.0,1200.0,331.91,280.0
41,814.5,44520000.0,1200.0,356.06,280.0
42,798.5,45580000.0,1030.0,360.4,280.0
43,897.5,46640000.0,1210.0,390.7,280.0
44,835.0,47700000.0,1230.0,427.74,290.0
45,766.5,48760000.0,1050.0,456.59,320.0
46,842.0,49820000.0,1030.0,495.79,710.0
47,851.0,50880000.0,1160.0,499.51,720.0
48,887.0,51940000.0,1220.0,516.83,730.0
49,632.0,53000000.0,1220.0,520.81,730.0
50,714.5,54060000.0,1050.0,513.0,730.0
51,718.0,55120000.0,1200.0,533.55,740.0
52,819.0,56180000.0,1220.0,557.9,750.0
53,893.5,57240000.0,1210.0,538.43,740.0
54,824.0,58300000.0,1170.0,547.02,750.0
55,715.0,59360000.0,1170.0,527.54,740.0
56,764.0,60420000.0,1200.0,543.28,750.0
57,857.0,61480000.0,1170.0,548.4,750.0
58,850.5,62540000.0,1260.0,556.47,750.0
59,831.0,63600000.0,1240.0,547.88,750.0
60,888.5,64660000.0,1260.0,545.83,750.0
61,1058.0,65720000.0,1680.0,568.69,760.0
62,949.5,66780000.0,1680.0,566.51,750.0
63,901.5,67840000.0,1680.0,555.68,760.0
64,892.5,68900000.0,1640.0,576.28,760.0
65,897.0,69960000.0,1230.0,559.55,760.0
66,897.5,71020000.0,1300.0,586.98,760.0
67,993.5,72080000.0,1420.0,582.84,760.0
